source_image_id,design,kind,depth_um,expected_photons,replicate,panoptic_quality,segmentation_quality,recognition_quality,true_positives,false_positives,false_negatives,predicted_count,target_count,absolute_count_error,percentage_count_error,foreground_dice
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,6.0,200,2,0.535537366995408,0.8224323850286623,0.6511627906976745,56,46,14,102,70,32,0.45714285714285713,0.8708715526897345
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,6.0,200,3,0.5373946017900029,0.8204864009472365,0.6549707602339181,56,45,14,101,70,31,0.44285714285714284,0.8695652173913043
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,deterministic,-6.0,100,-1,0.5168034392561364,0.8021220046787949,0.6442953020134228,48,31,22,79,70,9,0.12857142857142856,0.730524773330891
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,deterministic,-4.0,100,-1,0.5330195636635875,0.8286031398770316,0.6432748538011696,55,46,15,101,70,31,0.44285714285714284,0.8606013276064037
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,deterministic,-2.0,100,-1,0.5439096827595611,0.8304335334989726,0.6549707602339181,56,45,14,101,70,31,0.44285714285714284,0.8711996099340977
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,deterministic,0.0,100,-1,0.5422406357760181,0.8327266906560278,0.6511627906976745,56,46,14,102,70,32,0.45714285714285713,0.8722599082972176
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,deterministic,2.0,100,-1,0.5439387103780746,0.8304778524522389,0.6549707602339181,56,45,14,101,70,31,0.44285714285714284,0.8711983578321497
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,deterministic,4.0,100,-1,0.5276852965106207,0.8251079181802432,0.6395348837209303,55,47,15,102,70,32,0.45714285714285713,0.8606488753518263
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,deterministic,6.0,100,-1,0.509489479542336,0.8021749252368694,0.6351351351351351,47,31,23,78,70,8,0.11428571428571428,0.7248863280746645
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,-6.0,50,0,0.5549829417506287,0.7948484504733581,0.6982248520710059,59,40,11,99,70,29,0.4142857142857143,0.8539310614844821
